job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,median_salary,posted_date,company_size,tools_preferred
1,Foster and Sons,Healthcare,Data Analyst,"NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",Mid,Full-time,"Tracybury, AR",101229,20-08-2025,Large,"KDB+, LangChain"
2,"Boyd, Myers and Ramirez",Tech,Computer Vision Engineer,"Scikit-learn, CUDA, SQL, Pandas",Senior,Full-time,"Lake Scott, CU",111699,22-03-2024,Large,"FastAPI, KDB+, TensorFlow"
3,King Inc,Tech,Quant Researcher,"MLflow, FastAPI, Azure, PyTorch, SQL, GCP",Entry,Full-time,"East Paige, CM",170850,18-09-2025,Large,"BigQuery, PyTorch, Scikit-learn"
4,"Cooper, Archer and Lynch",Tech,AI Product Manager,"Scikit-learn, C++, Pandas, LangChain, AWS, R",Mid,Full-time,"Perezview, FI",87326,08-05-2024,Large,"TensorFlow, BigQuery, MLflow"
5,Hall LLC,Finance,Data Scientist,"Excel, Keras, SQL, Hugging Face",Senior,Contract,"North Desireeland, NE",117054,24-02-2025,Large,"PyTorch, LangChain"
6,Ellis PLC,E-commerce,AI Product Manager,"GCP, Excel, Scikit-learn, MLflow",Senior,Remote,"South Kevin, TZ",136675,07-08-2025,Large,"PyTorch, TensorFlow, FastAPI"
7,Matthews-Moses,Automotive,Data Analyst,"Python, Flask, Scikit-learn, GCP",Mid,Full-time,"West Shawn, LR",79585,23-12-2024,Large,"PyTorch, MLflow"
8,Mullins Ltd,Education,Data Scientist,"Excel, SQL, Flask",Entry,Internship,"Port Hailey, RU",72588,14-08-2024,Large,BigQuery
9,Aguilar PLC,Healthcare,ML Engineer,"Pandas, LangChain, GCP, Azure",Entry,Internship,"Butlermouth, GB",161372,15-09-2025,Large,"Scikit-learn, LangChain, BigQuery"
10,Parks LLC,Automotive,Computer Vision Engineer,"Excel, Reinforcement Learning, TensorFlow",Senior,Full-time,"Nicoleshire, BA",122195,07-08-2025,Large,"MLflow, TensorFlow"
11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",112968,10-01-2024,Large,"LangChain, BigQuery, Scikit-learn"
12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",98127,15-03-2024,Large,"TensorFlow, PyTorch, BigQuery"
13,Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",109898,27-09-2023,Startup,LangChain
14,Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",165490,20-11-2024,Mid,"LangChain, TensorFlow, Scikit-learn"
15,Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",173292,08-07-2024,Large,FastAPI
16,Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",171268,06-04-2024,Startup,TensorFlow
17,Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",158810,14-05-2025,Mid,LangChain
18,Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",165521,29-04-2024,Startup,BigQuery
19,Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",130295,19-10-2024,Mid,"BigQuery, FastAPI, KDB+"
20,Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",161379,29-08-2024,Large,MLflow
21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",148845,19-01-2024,Large,"Scikit-learn, BigQuery, PyTorch"
22,Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",83850,28-12-2023,Large,"PyTorch, LangChain"
